id,name
791,Daiquiri
792,Daiquiri (Sweeter)
793,Daiquiri No. 4
794,Daiquiri with Benefits (DWB)
795,Daily Mail
796,Daiquiri (Simo)
797,Daiquiri-73
798,Daiquiri No. 6
799,Daisy Buchanan
800,Daisy If You Do
801,Dakkar Grotto
802,"Dammit, Jen!"
803,Dana Special
804,Dance into the Fire
805,Daisy Mae
806,Dale Cooper
807,Damp Pavement
808,Danagroni
809,Dancing Shoes
810,The Dandy Brandy Smash
811,Danny Brown
812,Danube
813,Dark 'n' Bubbly
814,Dark Entries
815,Dandy Cocktail
816,Dante's Requiem
817,Dapperman Sour
818,Dark Desires
819,Dark House
820,Dark and Moody
821,Dark Skies Ahead
822,Dark Trilogy
823,Darkness in Brooding
824,Darkside Iced Tea
825,Dark side
826,Dark and Stormy (Brad Thomas Parsons Recipe)
827,Dark Was The Night
828,Darkside
829,Darling Nikki
830,Darwin's Hopes
831,Dauphin
832,Dawn in Jalisco
833,De Rigueur 2
834,Dead Last
835,Date Expectations
836,David Denizen
837,Day Old Bread
838,Dead Glamour
839,Dead Letter Office
840,Dead Man's Alley
841,Dead Men Float
842,Dead Reckoning
843,Deadpan Fix
844,Death by Chocolate
845,Dead Man's Mule
846,Dead Parrot Colada
847,Deadbolt
848,Death & Taxes (Pouring Ribbons)
849,Death or Glory
850,Death in Missolungi
851,Death Is Not The End
852,Debbie Don't
853,Decadent Stout Flip
854,Deep Midwinter
855,Death in the Afterlife
856,Death on the Installment Plan
857,Debole & Tallawah
858,Deep Breath
859,Del Rio
860,The Delicious Cobbler
861,Delicious Sour (Dead Rabbit Version)
862,Délit de Fuite
863,Delmarva Cocktail #2
864,Demerara Dry Float
865,Delicious Sour
866,Delilah Jones
867,The Deliverance
868,Delores del Rio
869,Democrat
870,The Departed
871,Derby Cup
872,La Dernière Danse
873,Deshler Cocktail
874,Dessert l'Italienne
875,Depth Dweller
876,Dernier Mot
877,Desert Flower
878,Desperate search
879,Destiny Street
880,Detroiter
881,Devil Makes Work
882,The Devil's Backbone
883,Devil's Highway
884,Deviled Negroni
885,Devil Inside
886,Devil-May-Carrot
887,The Devil's Gondolier
888,Devil's Staircase
889,Devils Soul
890,Diablo Rojo
891,Diamonds & Pearls
892,Diamonds Are Forever
893,Dick and Jane
894,The Dickensian Villain
895,Diamondback riff (pear)
896,Diamonds & Spades
897,Diamonds on My Windshield
898,Dickens Flip
899,Diddlin' Dora
900,The Difference Engine
901,Ding Dong
902,Dinosaurs Before Dark
903,Dirt in my Drink
904,Disco Ball
905,The Dillinger
906,Ding Ho
907,Diplomate Cocktail
908,Disappearing Ink
909,Disco Banjo
910,The Dissenter
911,The Distraction
912,The Diver's Wife
913,Division Bell
914,Do The Right Thing
915,Dissertation
916,District 2
917,The Divine Lorraine
918,Divorce Papers
919,Doctor Cocktail
920,Doctored Pepper
921,Dog Days
922,Domaine Daiquiri
923,Don Alfredo
924,Don Fulano
925,The Doe's Path
926,Dolce Far Niente
927,Domfront
928,Don Franco Penicilina
929,Don Quixquote
930,Don's Passion
931,Donga Punch
932,Dorflinger Revisited
933,Double-Barreled
934,Double Fill-Up
935,Don't Mind If I Do
936,Doom & Gloom
937,Dos Besitos
938,Double Dutch
939,Double Punch
940,Double Smoked Negroni
941,Down for the Count
942,Down to Earth
943,Downtown Daiquiri
944,Dr. Adam's Fosbury Flip
945,Douglas Fir Rhubarb Negroni
946,Down for the Count (Negroni x Remember the Maine)
947,Downfall
948,Dowsing Rod
949,Dr. Ooops
950,Dr Pepper Drank
951,Dragon Punch
952,Dreadlock Holiday
953,The Drink of Insignificance
954,Drink of Laughter and Forgetting
955,Dragon Lily
956,Dragon's Mouth
957,Dream Catcher
958,Drink Lab #16
959,Drink My Blood
960,The Drink With No Name
961,Dry Daiquiri
962,Dublin in October
963,The Duck Hunter
964,Dunlop Cocktail (12 Bottle Bar)
965,Drunkan Botanist
966,Dry Tortuga
967,Dubois Margarita
968,Dulce de Leche
969,Dusting Erasers
970,Dutch Apple
971,Dutch Elm Disease
972,Dutch Revival
973,The Dutchess
974,Eagle Creek
975,Earl Grey MarTEAni
976,Earl of Lavender
977,Early Bird
978,Early Dismissal
979,Earth Mother
980,Earthbound Cocktail
981,East Harlem
982,East Indian Negroni
983,Eastern Promises
984,Easy Out
985,East Coast Tommy Margarita
986,East India Flip
987,East Side Cocktail
988,Easy On The Eye
989,Easy Speak
990,Easy Split
991,Eau de Lavender
992,Edelweiss
993,Edison's Medicine
994,Eeyore's Requiem
995,Easy Street Fizz
996,The Echo Echo
997,Eden Terrace Fizz
998,Edward Teach
999,Egg Nog
1000,Egg Nog (Alton Brown recipe)
1001,"Eggnog, Morgenthaler"
1002,Elder Monk
1003,Elderflower Royale
1004,Elevato Negroni
1005,Egg Nug
1006,Elder Martini
1007,Elderflower Iced Tea
1008,Elephants Sometimes Forget
1009,Elision
1010,Elk's Own (Paul McGee)
1011,Ellen's Folly
1012,The Elves and their Antics
1013,Emotional Tailspin
1014,End of Days
1015,Ellen's Fancy
1016,Elske Sour #2
1017,Elysium
1018,The Emperor
1019,The End Is Nigh
1020,The End of Summer
1021,English Basillica
1022,English Rain
1023,Enrico Pallazzo
1024,Equinox
1025,Ends of the Earth
1026,English Garden
1027,Enigma Cocktail
1028,Enzoni
1029,Ernest the Aviator
1030,Err from the Faith
1031,Esplanade Mezcal Swizzle
1032,Eucalyptus Martini
1033,European tryad
1034,Eve's Temptation
1035,The Escapology
1036,Esprit du Mezcalier
1037,Eulogy
1038,European Witch
1039,Evening in a Sugar Orchard
1040,Everybody Loves Hugo
1041,Everything But Rap & Country
1042,Evolved Margarita
1043,Expat
1044,Expedition
1045,Everyman Afterall
1046,Evidence
1047,Existential Threat
1048,Expatriate's Punch
1049,Explorer's Dream
1050,The Exporter
1051,Exposicion
1052,The Extra Mile
1053,Eyes on the Table
1054,The Eyrie
1055,Faceless Man
1056,Fading Beauty
1057,The Failed Contract of Ladd & Co.
1058,Falinum
1059,The Fall Classic
1060,Fall Down Slow
1061,Fall Gimlet
1062,Fall Into My Glass
1063,Fall on Me
1064,Fancy Mint Julep
1065,Fall From Grace
1066,Fall Into Italy
1067,The Fall of Man
1068,Falling Leaves
1069,Far East Algonquin
1070,The Father
1071,Faux Stone Fence
1072,Fear Itself
1073,Felonius Monk
1074,Fennel Delight
1075,Fault Line
1076,Fay Wray
1077,Fear and Loathing in Princeton
1078,Feneon
1079,Fenton's Phantom
1080,Fenway Sling
1081,Fernet & Jerry
1082,Fernet Alexander
1083,Fernet Flip-out
1084,Fig and Thistle
1085,Fernata Daiquiri
1086,Fernet 'Milkshake'
1087,Fernet Cocktail
1088,Fig Bee's Knees
1089,The Final Demand
1090,Final Rhuse
1091,Final Straw
1092,Final Ward Eight
1093,Fino Daiquiri
1094,Fir Gin Fix
1095,The Final Say
1096,Final Ward
1097,Fine Feller
1098,Fir Geddaboudit
1099,Fire Hat
1100,Fire of Love
1101,Fireworks
1102,First Rodeo
1103,Fish House Punch (Death & Co)
1104,A Fistful of Pears
1105,Fireman's Sour
1106,Firred Word
1107,Fish House Punch (1732)
1108,Fist Bump
1109,Fistuk's house
1110,the Fitty Cocktail
1111,Five & Dime
1112,Five Point Palm Exploding Heart Technique
1113,Five Points Sour
1114,Fixer Upper
1115,Fitzroy
1116,Five Families
1117,Five Points
1118,The Fixer
1119,Fizz de Provence
1120,Fjord Pickup
1121,Flamenco
1122,Flannel Moon
1123,Fleming Fizz
1124,Fleur Carré
1125,The Flame Haired Lady
1126,Flâneur
1127,The Fleet Street
1128,Fletcher Christian
1129,Fleur-de-Lis
1130,Fleur du Mal
1131,Flor de Jalisco
1132,Flor de Muertos
1133,Floral Explosion
1134,El Floridita Daquiri var. 2
1135,Flor de Cafe
1136,Flor de Jerez
1137,Flor de PBJerez
1138,The Florence Sling
1139,Floridita Special
1140,Florodora (Dead Rabbit Version)
1141,Flower Power Martini
1142,Flowering Fields
1143,Flue-cured
1144,Fly-By-Knight
1145,Flower Girl
1146,Flower Tart
1147,Flu Cure Toddy
1148,Fluffy Ruffles
1149,Fly Swatter
1150,Flying Dutchman (Jardinière)
1151,Fog in the Orchard
1152,Fogerty
1153,Foggy Notion
1154,Fontainebleau
1155,Flying Dutchman (PDT)
1156,The Fogcutter
1157,Fogg Cutter
1158,Fond de Culotte
1159,Fontoura
1160,Food for Thought
1161,Fool's Gold
1162,For whom the sun rises
1163,Forbidden Sun
1164,Forest Murmurs
1165,The Fool Moon
1166,For Remembrance
1167,Forbidden Sour
1168,A Forest
1169,Forgetful Elephant
1170,Fork & Knife Flip
1171,Fort Point
1172,Forty Virtues
1173,The Fountain
1174,Fourteen
1175,Fort Greene
1176,Fortune Teller (Jessica Gonzalez)
1177,Fosbury Flip
1178,The Four Humours
1179,Fourth Regiment
1180,Fox Hunt
1181,Framboise Will Be Boise
1182,Franco
1183,Frank of America
1184,French 75
1185,Fragola Rock
1186,Francesco
1187,Franco-American 60
1188,Franklin Bearse
1189,French 75 (Elderflower) aka French 77
1190,French-American Treaty
1191,French Gimlet
1192,French Laundry
1193,French Minty
1194,French Polynesian
1195,French Connection (Tommy Klus)
1196,The French Intervention
1197,French Maid
1198,French Pearl
1199,French Toast Flip
1200,Fresa Brava
1201,La Fresa Cocktail
1202,Freudian Flip
1203,Frisco Rose
1204,Frontera Toddy
1205,Fresa Cervesa
1206,Fresca
1207,Frézier
1208,From Dusk Till Dark
1209,Frozen Piña Colada
1210,Fruit salad
1211,Frunchroom
1212,Full Windsor
1213,Fumo di Cannella
1214,Funky Kong
1215,Fruity Biatch
1216,Full Circle
1217,Full Windsor Cocktail
1218,Funky Cold Medina
1219,Funny Duck
1220,Future Days
1221,The FVD
1222,Gabriella
1223,Galah (Okar)
1224,The Galleon
1225,Garden Variety
1226,Gadsden Purchase
1227,Galileo
1228,Garden Fizz
1229,Garibaldi
1230,Garibaldi Spritz
1231,Gaspar Grande
1232,Gato Negro Instantáneo
1233,General's Orders
1234,Genever Convention
1235,Gascon Smash
1236,Gasper Cocktail
1237,Genepy Passion
1238,Genever? I Hardly Know 'Er!
1239,Gens du Monde
1240,Gentian Dream
1241,Georgetown Tuxedo
1242,Georgita
1243,Get Lucky
1244,Getaway Car
1245,Gentleman Caller
1246,Georgia-Kentucky Squirrel
1247,Gershwin
1248,The Getaway
1249,Ghost Town
1250,Gilded Paloma
1251,Gilroy Cocktail (Rum variation)
1252,Gin & Tonic
1253,Gin Daisy
1254,Gin Gin Carré!
1255,Gilroy (Kirschwasser variation)
1256,Gin & Gruit
1257,Gin Basil Smash
1258,Gin Garden
1259,Gin-Gin Mule
1260,Gin Hopper
